Source	Name	Location	Motivation	Other names
Beyond Identity	Regal Jackal	Iran	Hacktivists	Regal Jackal
Beyond Identity	REvil	Russia	Ransomware Gang	
Beyond Identity	Roaming Tiger	China	APT	Bronze Woodland
Beyond Identity	Rocket Kitten	Iran	APT	Rocket Kitten
Beyond Identity	Rose Matsil	Georgia	APT	Rose Matsil
Beyond Identity	Royal Spider	Russia	Organized Crime	Royal Spider
Beyond Identity	RTM	Russia	Organized Crime	G0048
Microsoft 	Ruby Sleet	North Korea	Nation-state	"CERIUM, VELVET CHOLLIMA"
Beyond Identity	Russiansec	Russia	Hacktivists	ATK131
Microsoft 	Ruza Flood	Russia	 Influence operations	
Beyond Identity	Sabre Panda	China	APT	Sabre Panda
Beyond Identity	Safe	China	APT	Safe
Microsoft 	Salmon Typhoon	China	Nation-state	"SODIUM, MAVERICK PANDA, APT4"
Microsoft 	Salt Typhoon	China	Nation-state	"OPERATOR PANDA, GhostEmperor, FamousSparrow"
Beyond Identity	Salty Spider	Russia	Organized Crime	Salty Spider
Beyond Identity	SandCat	Uzbekistan	APT	SandCat
Beyond Identity	Sands Casino	Iran	Organized Crime	
Microsoft 	Sangria Tempest	Ukraine	 Financially motivated	"ELBRUS, CARBON SPIDER"
Microsoft 	Sapphire Sleet	North Korea	Nation-state	"COPERNICIUM, STARDUST CHOLLIMA, Genie Spider, BlueNoroff, CageyChameleon, CryptoCore"
Beyond Identity	Sath-? M dafaa	Turkey	Hacktivists	
Microsoft 	Satin Typhoon	China	Nation-state	"SCANDIUM, DYNAMITE PANDA, COMBINE, TG-0416, SILVERVIPER, Red Wraith, APT18, Elderwood Group, Wekby"
Beyond Identity	Scarlet Mimic	China	APT	G0029
Beyond Identity	Sea Turtle	Turkey	APT	UNC1326
Microsoft 	Seashell Blizzard	Russia	Nation-state	"IRIDIUM, VOODOO BEAR, BE2, UAC-0113, Blue Echidna, Sandworm, PHANTOM, BlackEnergy Lite, APT44"
Microsoft 	Secret Blizzard	Russia	Nation-state	"KRYPTON, VENOMOUS BEAR, Uroburos, Snake, Blue Python, Turla, WRAITH, ATG26"
Microsoft 	Sefid Flood	Iran	 Influence operations	
Beyond Identity	Shadow Force	China	APT	Shadow Force
Beyond Identity	Shadow Network	China	APT	Shadow Network
Microsoft 	Shadow Typhoon	China	Nation-state	"Storm-0062, DarkShadow, Oro0lxy"
Beyond Identity	Shady RAT	China	APT	Shady RAT
Beyond Identity	Shark Spider	Russia	Organized Crime	Shark Spider
Beyond Identity	SideCopy	Pakistan	APT	Fringe Leopard
Beyond Identity	SideWinder	India	APT	SideWinder
Beyond Identity	Silence	Russia	Organized Crime	Temp.TruthTeller
Microsoft 	Silk Typhoon	China	Nation-state	"HAFNIUM, MURKY PANDA, timmy"
Beyond Identity	SilverTerrier	Nigeria	Business Email Compromise	G0083
Beyond Identity	Sima	Iran	APT	
Beyond Identity	Skipper Turla	Russia	APT	White Bear
Beyond Identity	Sleepy Lynx	Georgia	APT	Sleepy Lynx
Beyond Identity	Slime29	China	APT	
Beyond Identity	Slime34	China	Organized Crime	DEV-0401/Cinnamon Tempest
Microsoft 	Smoke Sandstorm	Iran	Nation-state	"IMPERIAL KITTEN, UNC1549"
Beyond Identity	Snake Wine	China	APT	Snake Wine
Beyond Identity	Snowglobe	France	APT	Animal Farm
Beyond Identity	Song Wu	China	Unknown	
Beyond Identity	Sprek3rsSec	Brazil	Hacktivists	ATK136
Microsoft 	Star Blizzard	Russia	Nation-state	"SEABORGIUM, COLDRIVER, Callisto Group, BlueCharlie, TA446"
Beyond Identity	Stealth Mango and Tangelo	China	APT	Stealth Mango and Tangelo
Microsoft 	Storm-0247	China	Nation-state	"ToddyCat, Websiic"
Beyond Identity	Storm-0558	China	APT	Storm-0558
Microsoft 	Storm-0940	China	Nation-state	
Microsoft 	Storm-0978	Russia	Nation-state	"RomCom, Underground Team"
Microsoft 	Storm-1175	"China, Financially motivated"	Financially motivated	
Microsoft 	Storm-1516	Russia	 Influence operations	
Microsoft 	Storm-1849	China	Nation-state	UAT4356
Microsoft 	Storm-1982	China	Nation-state	"SneakyCheff, UNK_SweetSpecter"
Microsoft 	Storm-2035	Iran	 Influence operations	
Microsoft 	Storm-2077	China	Nation-state	TAG-100
Microsoft 	Storm-2603	China	Nation-state	
Microsoft 	Storm-2657	United States	 Financially motivated	Payroll Pirates
Beyond Identity	Strider	United States of America	APT	ProjectSauron
Beyond Identity	StrongPity	Turkey	APT	StrongPity
Beyond Identity	Sudo rm-RF	Ukraine	Unknown	
Beyond Identity	Sweed	Nigeria	Script Kiddies	Sweed
Microsoft 	Swirl Typhoon	China	Nation-state	"TELLURIUM, STALKER PANDA, Tick, Bronze Butler, REDBALDKNIGHT"
Beyond Identity	TA2541	Nigeria	Organized Crime	TA2541
Beyond Identity	TA408	North Korea	APT	TA408
Beyond Identity	TA413	China	APT	TA413
Beyond Identity	TA425	India	Unknown	TA425
Beyond Identity	TA427	North Korea	APT	TA427
Beyond Identity	TA445	Belarus	APT	UNC1151
Beyond Identity	TA459	China	APT	TA459
Beyond Identity	TA530	China	Organized Crime	TA530
Beyond Identity	TA542	Ukraine	Organized Crime	UNC3443
Beyond Identity	TA577	Russia	Organized Crime	UNC2500
Microsoft 	Taffeta Typhoon	China	Nation-state	"TECHNETIUM, TURBINE PANDA, TG-0055, Red Kobold, JerseyMikes, APT26, BEARCLAW"
Beyond Identity	Taidoor	China	APT	Spicy Panda
Microsoft 	Taizi Flood	China	 Influence operations	"Dragonbridge, Spamouflage"
Beyond Identity	TarnishedGauntlet	Iran	Organized Crime	DEV-0146/Pumpkin Sandstorm
Beyond Identity	TaskMasters	China	APT	TaskMasters
Beyond Identity	TeamSpy Crew	Russia	APT	TeamSpy Crew
Beyond Identity	TeamXRat	Brazil	Organized Crime	TeamXRat
Beyond Identity	Telegram	United Arab Emirates	Business Email Compromise	
Beyond Identity	Temper Panda	China	APT	admin@338
Beyond Identity	Tempting Cedar Spyware	Lebanon	APT	Tempting Cedar Spyware
Beyond Identity	Tengyun-snake/Teng Snake/Genesis Day	China	Hacktivists	APT-Q-122
Beyond Identity	Terbium	Iran	APT	Shamoon
Beyond Identity	Test Panda	China	APT	Test Panda
Beyond Identity	TG-0919	United Arab Emirates	APT	TG-0919
Beyond Identity	TG-6529	Ukraine	APT	TG-6529
Beyond Identity	TG-8288	Iran	APT	TG-8288
Beyond Identity	The Dark Overlord	United States of America	Organized Crime	Overlord Spider
Beyond Identity	The Shadow Brokers	United States of America	Hacktivists	
Beyond Identity	Tianwu	China	APT	
Beyond Identity	Titan Rain	China	APT	Titan Rain
Beyond Identity	ToddyCat	China	APT	ToddyCat
Beyond Identity	Tonto Team	China	APT	Tonto Team
Beyond Identity	Tortoiseshell	Iran	APT	TA456
Beyond Identity	Toxic Panda	China	APT	Toxic Panda
Beyond Identity	Tracer Kitten	Iran	APT	Tracer Kitten
Beyond Identity	Trigona	Russia	Ransomware Gang	
Beyond Identity	TRITON Group	Russia	APT	Temp.Veles
Beyond Identity	TsNIIKhM	Russia	APT	TsNIIKhM
Microsoft 	Tumbleweed Typhoon	China	Nation-state	"THORIUM, Karst"
Beyond Identity	TurkHackTeam	Turkey	Hacktivists	
Beyond Identity	Turla	Russia	APT	UNC4210
Microsoft 	Twill Typhoon	China	Nation-state	"TANTALUM, MUSTANG PANDA, BRONZE PRESIDENT, LuminousMoth"
Beyond Identity	TwoSail Junk	China	APT	TwoSail Junk
Beyond Identity	UAC-0041	Russia	Hacktivists	UAC-0041
Beyond Identity	UAC-0094	Russia	Unknown	UAC-0094
Beyond Identity	UNC245	China	APT	UNC245
Beyond Identity	UNC2717	China	APT	UNC2717
Beyond Identity	UNC2717	China	APT	UNC2717
Beyond Identity	UNC3347	China	APT	UNC3347
Beyond Identity	UNC3762	Russia	APT	UNC3762
Beyond Identity	UNC3784	China	APT	UNC3784
Beyond Identity	UNC3890	Iran	APT	UNC3890
Beyond Identity	UNC3905	Russia	Organized Crime	UNC3905
Beyond Identity	UNC4841	China	State Actor	
Beyond Identity	UNC4841	China	APT	UNC4841
Beyond Identity	Union Panda	China	APT	Union Panda
Beyond Identity	Union Spider	Russia	Organized Crime	Union Spider
Beyond Identity	Unit8200	Israel	APT	Duqu Group
Beyond Identity	USDoD	Brazil	Unknown	NetSec
Beyond Identity	Vanadinite	China	APT	Lead
Beyond Identity	Vapor Panda	China	APT	Vapor Panda
Beyond Identity	Velvet Ant	China	Hacktivists	
Beyond Identity	Vendetta	Turkey	APT	TA2719
Beyond Identity	Viking Jackal	United Arab Emirates	Hacktivists	Viking Jackal
Beyond Identity	Viking Spider	Russia	Organized Crime	Viking Spider
Microsoft 	Violet Typhoon	China	Nation-state	"ZIRCONIUM, JUDGMENT PANDA, Chameleon, APT31, WebFans"
Microsoft 	Void Blizzard	Russia	Nation-state	Laundry Bear
Beyond Identity	Volatile Cedar	Lebanon	APT	DeftTorero
Microsoft 	Volga Flood	Russia	 Influence operations	"Storm-1841, Rybar"
Beyond Identity	Volt Typhoon	China	APT	Volt Typhoon
Microsoft 	Volt Typhoon	China	Nation-state	"VANGUARD PANDA, BRONZE SILHOUETTE"
Beyond Identity	Vovan and Lexus	Russia	Hacktivists	TA499
Beyond Identity	Wang Spur	North Korea	APT	APT-C-47
Beyond Identity	Wassonite	North Korea	APT	Wassonite
Beyond Identity	WeRedEvils	Israel	Unknown	
Beyond Identity	Wet Panda	China	APT	Wet Panda
Beyond Identity	White Dev 51	Armenia	APT	White Dev 51
Beyond Identity	White Helios	Russia	Organized Crime	White Helios
Beyond Identity	White Mjolnir	Russia	Organized Crime	White Mjolnir
Beyond Identity	White Morok	Russia	Organized Crime	White Morok
Beyond Identity	Windigo	Russia	Organized Crime	G0124
Beyond Identity	Winnti Group	China	APT	PassCV
Beyond Identity	Wirelurker	China	Organized Crime	Wirelurker
Microsoft 	Wisteria Tsunami	India	Private sector offensive actor	"DEV-0605, MintedSoil"
Beyond Identity	Xe Group	Vietnam	Organized Crime	Chariot Spider
Beyond Identity	xHunt	Iran	APT	Warlord Kitten
Beyond Identity	Yahoo Boys	Nigeria	Business Email Compromise	Wire-Wire Group 1
Beyond Identity	Yingmob	China	Organized Crime	
Microsoft 	Yulong Flood	"China, Influence operations"	 Influence operations	Storm-1852
Beyond Identity	ZeroSevenGroup	China	APT	
Microsoft 	Zigzag Hail	Korea	Nation-state	"DUBNIUM, SHADOW CRANE, Nemim, TEMPLAR, TieOnJoe, Fallout Team, Purple Pygmy, Dark Hotel, Egobot, Tapaoux, PALADIN, APT-C-60"
Beyond Identity	Zombie Spider	Russia	Organized Crime	Zombie Spider
